epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
101,489.872,1.65154,2.83631,1.35721,1.61132,0.80208,0.49432,0.58584,0.33643,0.78906,0.48885,0.56878,0.35301,1.51994,2.47272,1.31292,1.72157,0.000927685,0.000927685,0.000927685
102,494.331,1.6627,2.90724,1.36191,1.57616,0.70677,0.5,0.56832,0.32441,0.70625,0.49432,0.54959,0.33158,1.58479,2.45789,1.30178,1.74922,0.000925852,0.000925852,0.000925852
103,498.912,1.69299,2.95219,1.37677,1.61593,0.7295,0.50567,0.56475,0.31543,0.70979,0.47443,0.53828,0.32048,1.51629,2.4811,1.32651,1.68839,0.000924019,0.000924019,0.000924019
104,503.421,1.61367,2.794,1.33894,1.57145,0.7055,0.5142,0.57475,0.31702,0.72295,0.49716,0.5606,0.32373,1.56979,2.47737,1.31534,1.7287,0.000922186,0.000922186,0.000922186
105,507.976,1.59507,2.73329,1.27038,1.53099,0.75407,0.50852,0.57903,0.32607,0.75648,0.48864,0.55835,0.33216,1.54593,2.52141,1.31759,1.72712,0.000920352,0.000920352,0.000920352
106,512.499,1.62993,2.80684,1.30829,1.55478,0.65947,0.52273,0.57147,0.33086,0.65995,0.54033,0.56473,0.34028,1.50569,2.41403,1.34873,1.69088,0.000918519,0.000918519,0.000918519
107,517.001,1.64443,2.90124,1.33606,1.56898,0.68879,0.52273,0.56957,0.31707,0.65528,0.51136,0.53625,0.32519,1.54644,2.4442,1.34769,1.71017,0.000916686,0.000916686,0.000916686
108,521.662,1.64212,2.8301,1.30861,1.52458,0.72966,0.49074,0.56233,0.31585,0.73504,0.48863,0.5474,0.33015,1.5321,2.4687,1.52782,1.68172,0.000914853,0.000914853,0.000914853
109,526.077,1.57174,2.7608,1.26262,1.51417,0.81639,0.47999,0.5615,0.32271,0.7989,0.47443,0.54294,0.32852,1.50031,2.42659,1.33816,1.66743,0.00091302,0.00091302,0.00091302
110,530.663,1.59654,2.83206,1.26736,1.53606,0.73242,0.50568,0.56066,0.31469,0.74065,0.51136,0.56034,0.3263,1.5494,2.45567,1.28826,1.73626,0.000911187,0.000911187,0.000911187
111,535.085,1.60849,2.78034,1.30517,1.53049,0.80657,0.53977,0.6035,0.34478,0.79691,0.52394,0.57997,0.35256,1.51595,2.47357,1.24921,1.70221,0.000909353,0.000909353,0.000909353
112,539.733,1.64561,2.84567,1.30854,1.56473,0.71304,0.53693,0.59255,0.3437,0.70926,0.53409,0.57719,0.34929,1.47505,2.38096,1.24137,1.65016,0.00090752,0.00090752,0.00090752
113,544.122,1.60316,2.75388,1.28962,1.54064,0.76999,0.52306,0.57808,0.32908,0.77746,0.50284,0.56335,0.3375,1.53663,2.44408,1.29141,1.73792,0.000905687,0.000905687,0.000905687
114,548.58,1.58769,2.71229,1.28054,1.5072,0.68994,0.54261,0.6006,0.35196,0.69059,0.51989,0.5841,0.36291,1.47985,2.39417,1.23252,1.65299,0.000903854,0.000903854,0.000903854
115,553.468,1.59779,2.80121,1.26165,1.48927,0.74587,0.50862,0.5792,0.34175,0.72385,0.51705,0.5632,0.34637,1.48937,2.4294,1.31224,1.62956,0.000902021,0.000902021,0.000902021
116,558.046,1.56571,2.80004,1.27779,1.51591,0.75461,0.51543,0.58628,0.33867,0.76441,0.5,0.56322,0.34752,1.47088,2.36792,1.29803,1.65529,0.000900188,0.000900188,0.000900188
117,562.587,1.53408,2.73848,1.25664,1.52511,0.74187,0.52557,0.5843,0.33075,0.74857,0.50749,0.55863,0.34271,1.54321,2.34848,1.29946,1.6843,0.000898355,0.000898355,0.000898355
118,567.012,1.56046,2.73871,1.26579,1.52571,0.75392,0.54832,0.60878,0.36375,0.76811,0.53693,0.58285,0.37826,1.43415,2.3643,1.21044,1.6229,0.000896521,0.000896521,0.000896521
119,571.52,1.55664,2.64774,1.22794,1.47465,0.69684,0.54853,0.61461,0.353,0.77349,0.50446,0.59136,0.34997,1.46179,2.37408,1.25681,1.61627,0.000894688,0.000894688,0.000894688
120,576.203,1.59419,2.85782,1.24091,1.49557,0.75621,0.5142,0.58309,0.33299,0.7651,0.50852,0.55562,0.34319,1.46898,2.38448,1.52254,1.62327,0.000892855,0.000892855,0.000892855
121,580.735,1.56408,2.771,1.26398,1.50195,0.73802,0.50568,0.56834,0.33203,0.73322,0.50284,0.55111,0.33861,1.43047,2.49082,1.33889,1.62238,0.000891022,0.000891022,0.000891022
122,585.249,1.59571,2.78578,1.26568,1.50354,0.7469,0.52557,0.58724,0.34543,0.73883,0.51989,0.57036,0.35319,1.44099,2.36985,1.20999,1.63722,0.000889189,0.000889189,0.000889189
123,590.017,1.56103,2.77211,1.22573,1.45775,0.69693,0.52264,0.5726,0.33563,0.69878,0.50087,0.55117,0.33766,1.49887,2.34825,1.24321,1.68503,0.000887356,0.000887356,0.000887356
124,594.474,1.55668,2.65538,1.25984,1.50425,0.70394,0.50852,0.54154,0.31973,0.71978,0.49622,0.52886,0.32741,1.49392,2.36412,1.32906,1.65714,0.000885523,0.000885523,0.000885523
125,599.033,1.56714,2.67332,1.24449,1.45904,0.76002,0.53125,0.59895,0.34348,0.75218,0.51989,0.58243,0.35843,1.48312,2.35962,1.19597,1.67568,0.000883689,0.000883689,0.000883689
126,603.532,1.58051,2.73885,1.22584,1.47697,0.7998,0.53342,0.6213,0.37191,0.79128,0.52774,0.59126,0.37958,1.44244,2.3284,1.22998,1.60397,0.000881856,0.000881856,0.000881856
127,608.119,1.58992,2.7241,1.249,1.49816,0.7838,0.51136,0.59024,0.34264,0.77212,0.50852,0.57284,0.35713,1.46692,2.33947,1.23073,1.63171,0.000880023,0.000880023,0.000880023
128,612.474,1.5419,2.67129,1.2566,1.50706,0.75415,0.53125,0.62279,0.37552,0.78496,0.52889,0.60252,0.37903,1.44185,2.32341,1.22402,1.62166,0.00087819,0.00087819,0.00087819
129,617.386,1.55384,2.68386,1.19096,1.4386,0.78879,0.53409,0.60712,0.35544,0.78397,0.52273,0.59994,0.37548,1.4501,2.31807,1.21145,1.63842,0.000876357,0.000876357,0.000876357
130,621.772,1.53166,2.64982,1.23152,1.47356,0.81065,0.5142,0.57409,0.32959,0.79274,0.50284,0.5469,0.34238,1.48036,2.33949,1.26297,1.66814,0.000874524,0.000874524,0.000874524
