epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
45,226.511,2.25769,3.54465,2.1031,2.15367,0.36724,0.30682,0.27061,0.12136,0.36595,0.29545,0.26903,0.12598,2.12987,3.15525,2.11333,2.30119,0.0010626,0.0010626,0.0010626
46,231.096,2.26989,3.68892,2.05602,2.15216,0.48401,0.35227,0.33944,0.15449,0.52713,0.34091,0.33293,0.1551,2.0578,3.13099,1.99402,2.25784,0.0010615,0.0010615,0.0010615
47,235.737,2.22117,3.57404,1.97982,2.07696,0.47834,0.34375,0.34385,0.15789,0.53279,0.3267,0.34002,0.1601,2.04725,3.15659,1.94081,2.22846,0.00106041,0.00106041,0.00106041
48,240.376,2.16726,3.42785,1.94122,2.02318,0.60242,0.32955,0.38145,0.16652,0.6128,0.33523,0.36734,0.1756,1.98083,3.11488,1.87794,2.17817,0.00105931,0.00105931,0.00105931
49,244.674,2.15642,3.47593,1.9794,2.0407,0.49666,0.3608,0.359,0.16198,0.54989,0.36364,0.364,0.1626,1.98176,3.157,1.89568,2.14886,0.00105821,0.00105821,0.00105821
50,249.261,2.18491,3.51318,1.93401,1.99879,0.53582,0.32794,0.34851,0.15084,0.52683,0.31818,0.33382,0.15481,2.01482,3.02942,2.06514,2.19314,0.00105711,0.00105711,0.00105711
51,253.518,2.0785,3.38702,1.95919,2.05376,0.50399,0.36932,0.3408,0.16136,0.54133,0.36364,0.34623,0.16813,1.94048,3.15233,1.93421,2.14064,0.00105601,0.00105601,0.00105601
52,258.053,2.09383,3.43883,1.91077,2.00328,0.48248,0.36364,0.34545,0.15906,0.46303,0.38352,0.3473,0.16573,1.95789,3.03196,1.89611,2.15855,0.00105491,0.00105491,0.00105491
53,262.376,2.17819,3.47901,1.92761,2.01001,0.49968,0.36884,0.37471,0.16728,0.52158,0.35619,0.36117,0.17542,1.94422,2.99914,1.9311,2.13398,0.00105381,0.00105381,0.00105381
54,266.992,2.15179,3.43832,1.87543,1.9707,0.57178,0.39205,0.40803,0.20109,0.58345,0.40057,0.41869,0.2074,1.86082,2.97657,1.80537,2.05461,0.00105271,0.00105271,0.00105271
55,271.536,2.05654,3.34706,1.82817,1.94713,0.53159,0.39773,0.38314,0.18336,0.52645,0.39489,0.38277,0.19187,1.86695,3.05063,1.83271,2.03735,0.00105161,0.00105161,0.00105161
56,276.032,2.03301,3.4489,1.84098,1.96452,0.53549,0.40057,0.41362,0.19337,0.52243,0.40057,0.40959,0.19125,1.89086,3.01851,1.80157,2.0587,0.00105051,0.00105051,0.00105051
57,280.68,2.02255,3.38342,1.74931,1.90338,0.57561,0.40057,0.4322,0.20922,0.65401,0.375,0.41849,0.22009,1.80773,2.93051,1.94099,2.01654,0.00104941,0.00104941,0.00104941
58,285.41,2.04844,3.3915,1.77772,1.90883,0.62638,0.39532,0.43226,0.21155,0.61738,0.38963,0.42086,0.21662,1.80566,2.91299,1.86272,1.98534,0.00104831,0.00104831,0.00104831
59,290.231,2.04549,3.3897,1.72942,1.85674,0.58459,0.40341,0.41586,0.19876,0.59825,0.38919,0.41418,0.20162,1.85955,2.89406,1.76566,2.02516,0.00104721,0.00104721,0.00104721
60,295.083,2.03467,3.36123,1.72993,1.87243,0.66634,0.41761,0.45765,0.22594,0.67722,0.41193,0.45515,0.24411,1.81933,2.8789,1.70684,2.01801,0.00104611,0.00104611,0.00104611
61,299.657,1.97803,3.26998,1.73678,1.86618,0.62477,0.42614,0.43739,0.20872,0.61495,0.41761,0.43216,0.22079,1.79521,2.91771,1.8264,2.01004,0.00104501,0.00104501,0.00104501
62,304.254,2.02387,3.39944,1.76344,1.86971,0.67831,0.3714,0.44422,0.2113,0.67537,0.37236,0.44388,0.22511,1.86697,2.92988,1.75993,2.04668,0.00104391,0.00104391,0.00104391
63,309.114,1.98189,3.33972,1.68429,1.80648,0.67031,0.42045,0.46215,0.23488,0.66578,0.41761,0.44274,0.23358,1.78728,2.85983,1.69909,1.98996,0.00104281,0.00104281,0.00104281
