# image det_index cls kpt_index u v depth_m X Y Z
DJI_20230823160823_0063_D 12 0 5 4083.89 1471.20 2.0288 0.8007 -0.2807 2.0288
DJI_20230823160823_0063_D 12 0 6 3909.35 1446.23 2.0931 0.7263 -0.3038 2.0931
DJI_20230823160823_0063_D 12 0 7 3880.76 1691.45 2.1416 0.7264 -0.1674 2.1416
DJI_20230823160823_0063_D 13 0 0 3893.21 1454.27 2.1033 0.7205 -0.3007 2.1033
DJI_20230823160823_0063_D 13 0 1 3915.77 1208.12 2.0322 0.7087 -0.4272 2.0322
DJI_20230823160823_0063_D 13 0 2 4059.25 1252.00 1.9866 0.7707 -0.3938 1.9866
DJI_20230823160823_0063_D 13 0 3 4087.85 1456.63 2.0212 0.7999 -0.2877 2.0212
DJI_20230823160823_0063_D 13 0 4 4100.27 1462.36 2.0189 0.8058 -0.2842 2.0189
DJI_20230823160823_0063_D 13 0 5 4123.64 1253.91 1.9631 0.7961 -0.3881 1.9631
DJI_20230823160823_0063_D 13 0 6 3930.04 1190.96 2.0151 0.7106 -0.4331 2.0151
DJI_20230823160823_0063_D 13 0 7 3899.17 1457.72 2.1026 0.7237 -0.2986 2.1026
DJI_20230823160823_0063_D 14 0 0 1065.40 2567.77 1.2106 -0.5207 0.1953 1.2106
DJI_20230823160823_0063_D 14 0 1 1052.39 2112.93 1.2249 -0.5312 0.0453 1.2249
DJI_20230823160823_0063_D 14 0 2 1309.82 1998.59 1.0271 -0.3732 0.0059 1.0271
DJI_20230823160823_0063_D 14 0 3 1622.95 2693.76 1.1099 -0.3083 0.2172 1.1099
DJI_20230823160823_0063_D 14 0 4 1528.29 2932.13 1.0219 -0.3103 0.2666 1.0219
DJI_20230823160823_0063_D 14 0 5 1456.71 2365.64 1.0398 -0.3360 0.1103 1.0398
DJI_20230823160823_0063_D 14 0 6 2265.06 1914.41 1.2254 -0.1254 -0.0211 1.2254
DJI_20230823160823_0063_D 14 0 7 2221.67 2256.55 1.2204 -0.1393 0.0931 1.2204
DJI_20230823160823_0063_D 15 0 0 2535.24 1606.63 1.8122 -0.0516 -0.1837 1.8122
DJI_20230823160823_0063_D 15 0 1 2521.35 1338.91 1.7639 -0.0569 -0.3078 1.7639
DJI_20230823160823_0063_D 15 0 2 2596.13 1372.03 1.7267 -0.0205 -0.2857 1.7267
DJI_20230823160823_0063_D 15 0 3 2671.83 1638.77 1.7295 0.0153 -0.1601 1.7295
DJI_20230823160823_0063_D 15 0 4 2689.14 1647.19 1.7225 0.0234 -0.1555 1.7225
DJI_20230823160823_0063_D 15 0 5 2675.59 1369.90 1.6842 0.0166 -0.2796 1.6842
DJI_20230823160823_0063_D 15 0 6 2534.52 1324.78 1.7526 -0.0503 -0.3126 1.7526
DJI_20230823160823_0063_D 15 0 7 2536.39 1596.20 1.8095 -0.0510 -0.1885 1.8095
DJI_20230823160823_0063_D 16 0 0 937.40 1325.35 1.1555 -0.5374 -0.2059 1.1555
DJI_20230823160823_0063_D 16 0 1 894.70 1084.31 2.2548 -1.0750 -0.5503 2.2548
DJI_20230823160823_0063_D 16 0 2 453.89 1105.72 2.3022 -1.3749 -0.5484 2.3022
DJI_20230823160823_0063_D 16 0 3 517.97 1330.64 2.4229 -1.4046 -0.4283 2.4229
DJI_20230823160823_0063_D 16 0 4 504.38 1344.91 2.4573 -1.4336 -0.4248 2.4573
DJI_20230823160823_0063_D 16 0 5 517.30 1292.15 2.3952 -1.3889 -0.4486 2.3952
DJI_20230823160823_0063_D 16 0 6 623.02 1007.89 2.4967 -1.3757 -0.6615 2.4967
DJI_20230823160823_0063_D 16 0 7 536.21 1243.68 2.3030 -1.3236 -0.4618 2.3030
DJI_20230823160823_0063_D 17 0 0 508.34 1303.81 2.4222 -1.4105 -0.4459 2.4222
DJI_20230823160823_0063_D 17 0 1 508.20 1289.92 2.4098 -1.4034 -0.4527 2.4098
DJI_20230823160823_0063_D 17 0 2 538.92 1330.24 2.3832 -1.3679 -0.4215 2.3832
DJI_20230823160823_0063_D 17 0 3 571.16 1307.76 2.3245 -1.3137 -0.4254 2.3245
DJI_20230823160823_0063_D 17 0 4 562.90 1316.18 2.3399 -1.3277 -0.4228 2.3399
DJI_20230823160823_0063_D 17 0 5 560.13 1333.11 2.3515 -1.3361 -0.4140 2.3515
DJI_20230823160823_0063_D 17 0 6 518.25 1292.13 2.3932 -1.3872 -0.4482 2.3932
DJI_20230823160823_0063_D 17 0 7 493.28 1287.44 2.4348 -1.4279 -0.4591 2.4348
DJI_20230823160823_0063_D 18 0 0 4468.15 1772.63 1.5097 0.7544 -0.0845 1.5097
DJI_20230823160823_0063_D 18 0 1 4591.00 1459.67 1.4662 0.7818 -0.2075 1.4662
DJI_20230823160823_0063_D 18 0 2 4720.93 1365.47 1.6309 0.9275 -0.2727 1.6309
DJI_20230823160823_0063_D 18 0 3 4999.11 1682.26 1.5432 0.9950 -0.1245 1.5432
DJI_20230823160823_0063_D 18 0 4 4806.31 1884.87 1.4231 0.8426 -0.0360 1.4231
DJI_20230823160823_0063_D 18 0 5 4961.67 1506.28 1.3981 0.8871 -0.1800 1.3981
DJI_20230823160823_0063_D 18 0 6 5270.16 1379.65 2.9285 2.1051 -0.4784 2.9285
DJI_20230823160823_0063_D 18 0 7 4986.58 1656.44 1.5149 0.9715 -0.1329 1.5149
DJI_20230823160823_0063_D 19 0 0 4106.68 1491.93 2.0301 0.8139 -0.2693 2.0301
DJI_20230823160823_0063_D 19 0 1 4135.06 1307.35 1.9699 0.8050 -0.3607 1.9699
DJI_20230823160823_0063_D 19 0 2 4307.91 1297.83 1.8899 0.8616 -0.3510 1.8899
DJI_20230823160823_0063_D 19 0 3 4294.46 1435.09 1.5163 0.6857 -0.2247 1.5163
DJI_20230823160823_0063_D 19 0 4 4304.61 1440.43 1.5121 0.6880 -0.2219 1.5121
DJI_20230823160823_0063_D 19 0 5 4343.67 1298.55 1.8770 0.8740 -0.3482 1.8770
DJI_20230823160823_0063_D 19 0 6 4150.69 1288.71 1.9579 0.8085 -0.3685 1.9579
DJI_20230823160823_0063_D 19 0 7 4113.40 1498.95 2.0287 0.8170 -0.2653 2.0287
DJI_20230823160823_0063_D 20 0 0 2394.55 1338.60 1.8335 -0.1227 -0.3201 1.8335
DJI_20230823160823_0063_D 20 0 1 2408.11 1011.63 2.5401 -0.1606 -0.6704 2.5401
DJI_20230823160823_0063_D 20 0 2 2599.27 1057.06 1.6494 -0.0181 -0.4148 1.6494
DJI_20230823160823_0063_D 20 0 3 2658.10 1372.13 1.6953 0.0086 -0.2804 1.6953
DJI_20230823160823_0063_D 20 0 4 2686.89 1374.36 1.6801 0.0218 -0.2769 1.6801
DJI_20230823160823_0063_D 20 0 5 2705.19 1052.90 1.6683 0.0299 -0.4215 1.6683
DJI_20230823160823_0063_D 20 0 6 2425.84 987.73 4.2995 -0.2510 -1.1628 4.2995
DJI_20230823160823_0063_D 20 0 7 2402.13 1341.47 1.8299 -0.1187 -0.3180 1.8299
DJI_20230823160823_0063_D 21 0 0 2719.44 1944.54 1.7376 0.0380 -0.0157 1.7376
DJI_20230823160823_0063_D 21 0 1 2712.47 1675.19 1.7129 0.0342 -0.1415 1.7129
DJI_20230823160823_0063_D 21 0 2 2811.81 1730.51 1.6629 0.0783 -0.1122 1.6629
DJI_20230823160823_0063_D 21 0 3 2871.18 1989.36 1.6604 0.1051 0.0054 1.6604
DJI_20230823160823_0063_D 21 0 4 2882.38 2008.96 1.6553 0.1099 0.0142 1.6553
DJI_20230823160823_0063_D 21 0 5 2870.55 1720.01 1.6341 0.1032 -0.1150 1.6341
DJI_20230823160823_0063_D 21 0 6 2714.31 1667.38 1.7106 0.0350 -0.1450 1.7106
DJI_20230823160823_0063_D 21 0 7 2719.00 1928.05 1.7345 0.0377 -0.0234 1.7345
DJI_20230823160823_0063_D 22 0 0 3346.59 1540.54 2.2717 0.4389 -0.2712 2.2717
DJI_20230823160823_0063_D 22 0 1 3353.76 1358.72 2.1757 0.4246 -0.3679 2.1757
DJI_20230823160823_0063_D 22 0 2 3438.10 1378.62 2.2840 0.4984 -0.3738 2.2840
DJI_20230823160823_0063_D 22 0 3 3475.51 1571.82 2.3129 0.5284 -0.2564 2.3129
DJI_20230823160823_0063_D 22 0 4 3481.52 1575.32 2.3099 0.5315 -0.2538 2.3099
DJI_20230823160823_0063_D 22 0 5 3488.90 1378.51 2.2628 0.5252 -0.3704 2.2628
DJI_20230823160823_0063_D 22 0 6 3363.45 1353.54 2.3025 0.4555 -0.3926 2.3025
DJI_20230823160823_0063_D 22 0 7 3343.60 1539.37 2.1638 0.4163 -0.2590 2.1638
DJI_20230823160823_0063_D 23 0 0 2965.17 2086.43 1.5708 0.1398 0.0468 1.5708
DJI_20230823160823_0063_D 23 0 1 2977.15 1742.78 1.5976 0.1474 -0.1025 1.5976
DJI_20230823160823_0063_D 23 0 2 3036.57 1618.56 1.6646 0.1806 -0.1633 1.6646
DJI_20230823160823_0063_D 23 0 3 3398.03 1896.29 1.6839 0.3490 -0.0374 1.6839
DJI_20230823160823_0063_D 23 0 4 3353.79 2033.80 1.6192 0.3160 0.0249 1.6192
DJI_20230823160823_0063_D 23 0 5 3394.41 1739.66 1.6607 0.3426 -0.1079 1.6607
DJI_20230823160823_0063_D 23 0 6 3541.43 1624.60 2.2733 0.5603 -0.2192 2.2733
DJI_20230823160823_0063_D 23 0 7 3233.96 1898.64 1.6041 0.2606 -0.0346 1.6041
DJI_20230823160823_0063_D 24 0 0 4156.72 1730.73 1.9307 0.8004 -0.1302 1.9307
DJI_20230823160823_0063_D 24 0 1 4196.55 1450.94 1.9523 0.8306 -0.2809 1.9523
