epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,273.657,0.68218,3.10848,0.48356,0.59466,1.10448,0.93776,0.83929,0.85619,0.72642,0.80509,0.60714,0.59933,0.44222,0.57724,3.27853,0.51987,0.54418,1.05643,0.00184726,0.00184726,0.00184726
56,278.501,0.7089,3.22093,0.49177,0.61425,1.11215,0.86728,0.76786,0.85371,0.72149,0.87386,0.64286,0.66317,0.43941,0.65008,3.5915,0.49156,0.62198,1.13903,0.00184443,0.00184443,0.00184443
57,283.279,0.67915,3.21122,0.49712,0.58206,1.09718,0.91767,0.80357,0.85256,0.75658,0.87994,0.65447,0.63833,0.48816,0.59237,3.45294,0.53756,0.52951,1.16829,0.0018416,0.0018416,0.0018416
58,288.056,0.67176,3.09961,0.48566,0.58099,1.0892,0.85373,0.83385,0.88576,0.7336,0.84809,0.59829,0.6374,0.42067,0.64325,3.92826,0.53351,0.57252,1.18927,0.00183877,0.00183877,0.00183877
59,292.822,0.67136,3.13453,0.48798,0.58762,1.10202,0.86444,0.80357,0.82734,0.73763,0.81277,0.66071,0.67111,0.50354,0.58094,3.43083,0.5204,0.57116,1.12789,0.00183594,0.00183594,0.00183594
60,297.659,0.67955,2.98354,0.4853,0.58736,1.09373,0.92058,0.82808,0.86457,0.7545,0.85022,0.625,0.65536,0.48911,0.63462,3.53865,0.51172,0.52988,1.23114,0.00183311,0.00183311,0.00183311
61,302.443,0.68882,2.92159,0.48068,0.58893,1.10012,0.89775,0.78395,0.87443,0.73471,0.8374,0.64286,0.65855,0.51162,0.67975,3.37034,0.49055,0.6047,1.15652,0.00183029,0.00183029,0.00183029
62,307.238,0.66538,2.8677,0.47701,0.57736,1.08767,0.88765,0.82143,0.89589,0.76709,0.81387,0.625,0.62664,0.43564,0.58754,3.57065,0.4925,0.52006,1.11335,0.00182746,0.00182746,0.00182746
63,311.996,0.68306,2.96275,0.47495,0.58349,1.10691,0.90517,0.85233,0.90533,0.77312,0.8621,0.625,0.69354,0.50427,0.60518,3.29804,0.49679,0.51502,1.13979,0.00182463,0.00182463,0.00182463
64,316.842,0.6548,2.80051,0.46745,0.5699,1.09094,0.92007,0.80357,0.86922,0.73837,0.82472,0.67226,0.69379,0.51501,0.59128,3.6292,0.50814,0.52464,1.13438,0.0018218,0.0018218,0.0018218
65,321.573,0.67352,2.91054,0.47809,0.59094,1.08876,0.92742,0.75,0.87093,0.74652,0.80969,0.67857,0.68412,0.53707,0.59336,3.43008,0.48906,0.51972,1.15024,0.00181897,0.00181897,0.00181897
