epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,196.112,1.28194,5.26053,0.54922,1.2276,1.73061,0.84372,0.67494,0.78168,0.54572,0.78886,0.46429,0.52617,0.37552,1.12023,4.42516,0.61733,0.98974,1.72883,0.00189251,0.00189251,0.00189251
40,200.824,1.26917,5.00477,0.55049,1.19979,1.70404,0.91752,0.64286,0.7611,0.59855,0.7899,0.55357,0.54858,0.36927,0.9057,4.33515,0.5943,0.90535,1.54098,0.00188969,0.00188969,0.00188969
41,205.586,1.26177,5.09266,0.53912,1.21132,1.69497,0.83906,0.65177,0.76474,0.53701,0.78916,0.5,0.50088,0.31814,1.20173,4.77093,0.60555,1.09785,1.7083,0.00188686,0.00188686,0.00188686
42,210.403,1.19185,5.12322,0.54312,1.14529,1.63839,0.86181,0.66831,0.75248,0.57685,0.76001,0.48214,0.50669,0.3803,0.9647,4.45502,0.60442,0.99854,1.5952,0.00188403,0.00188403,0.00188403
43,215.108,1.21861,4.86417,0.54423,1.14341,1.66504,0.80411,0.67857,0.72818,0.52475,0.70347,0.55357,0.52187,0.33561,1.0619,4.57089,0.59567,1.16481,1.66857,0.0018812,0.0018812,0.0018812
44,219.862,1.22789,5.1112,0.54666,1.16293,1.67079,0.81089,0.66071,0.75153,0.55639,0.83178,0.5299,0.57677,0.37587,0.98401,4.39211,0.60663,0.93954,1.60611,0.00187837,0.00187837,0.00187837
45,224.566,1.22911,4.88467,0.53692,1.14992,1.66064,0.82808,0.6882,0.78884,0.57498,0.90493,0.51786,0.5956,0.40384,1.01945,4.378,0.59362,0.99782,1.57025,0.00187554,0.00187554,0.00187554
46,229.343,1.19474,5.03502,0.54141,1.13023,1.62537,0.82279,0.66071,0.72493,0.5551,0.73795,0.48214,0.52731,0.35813,0.99488,4.60215,0.60362,1.04249,1.59542,0.00187271,0.00187271,0.00187271
47,234.071,1.20077,4.9505,0.53961,1.11442,1.63377,0.87958,0.65226,0.75197,0.58568,0.60628,0.44643,0.37852,0.23712,0.91435,5.16792,0.62004,1.00921,1.5112,0.00186989,0.00186989,0.00186989
48,238.932,1.13486,4.75681,0.53459,1.0632,1.57723,0.88665,0.67857,0.72301,0.56156,0.77899,0.55357,0.55347,0.35237,0.96514,4.21414,0.59517,0.98639,1.56678,0.00186706,0.00186706,0.00186706
49,243.672,1.14429,4.77736,0.5374,1.09965,1.61212,0.87508,0.62545,0.74846,0.57201,0.82001,0.5,0.52968,0.39121,0.95809,4.29621,0.59296,0.94793,1.52349,0.00186423,0.00186423,0.00186423
50,248.402,1.14915,4.69071,0.5355,1.07135,1.58757,0.9064,0.69179,0.7564,0.58639,0.74334,0.56893,0.5996,0.41313,0.93816,4.19536,0.58265,0.96359,1.53897,0.0018614,0.0018614,0.0018614
51,253.156,1.12294,4.73768,0.52702,1.05592,1.58145,0.82845,0.64286,0.7612,0.58983,0.76574,0.53571,0.53601,0.40733,0.91168,4.36937,0.60954,0.94972,1.51316,0.00185857,0.00185857,0.00185857
52,257.874,1.13312,4.57696,0.52587,1.10277,1.5874,0.86211,0.67,0.7213,0.54344,0.8279,0.51547,0.5373,0.38443,0.93648,4.29154,0.61287,1.0044,1.47312,0.00185574,0.00185574,0.00185574
